<DATE>,<TIME>,<CLOSE>,<VOL>
240715,100000,2456.3,16853
240715,110000,2460.1,9630
240715,120000,2462,9014
240715,130000,2464.1,9293
240715,140000,2463.5,21775
240715,150000,2459.5,13355
240715,160000,2462.8,13885
240715,170000,2473.9,30651
240715,180000,2476.1,24405
240715,190000,2471,16716
240715,200000,2465.3,12505
240715,210000,2467.3,8888
240715,220000,2466.2,2273
240715,230000,2467.3,2493
240716,100000,2479,18953
240716,110000,2479.8,11467
240716,120000,2487.6,16140
240716,130000,2485.6,8715
240716,140000,2485.3,9525
240716,150000,2477.5,26844
240716,160000,2485.4,24856
240716,170000,2492.7,20486
240716,180000,2503.8,30536
240716,190000,2499.7,12838
240716,200000,2508.1,15350
240716,210000,2509.5,20495
240716,220000,2512.4,5872
240716,230000,2514.5,6392
240717,100000,2517.8,22696
240717,110000,2518,33904
240717,120000,2521.4,13778
240717,130000,2512.4,9938
240717,140000,2513.4,8600
240717,150000,2518.4,13433
240717,160000,2527.5,26558
240717,170000,2507,55397
240717,180000,2504.8,27064
240717,190000,2498.1,24873
240717,200000,2497.3,7651
240717,210000,2503.8,7113
240717,220000,2504.2,4925
240717,230000,2502.5,2442
240718,100000,2515.3,17326
240718,110000,2509,10499
240718,120000,2507.6,7313
240718,130000,2502,18926
240718,140000,2501.4,10826
240718,150000,2499.8,17396
240718,160000,2500.9,23753
240718,170000,2506.1,21553
240718,180000,2497.1,8845
240718,190000,2491.8,11022
240718,200000,2493.8,14924
240718,210000,2488.4,8914
240718,220000,2482.6,20440
240718,230000,2484.6,5461
240719,100000,2461.9,31470
240719,110000,2465.2,13544
240719,120000,2459,24742
240719,130000,2454,17274
240719,140000,2453.1,12545
240719,150000,2451.7,39414
240719,160000,2453.5,47679
240719,170000,2447.7,20451
240719,180000,2455.2,14546
240719,190000,2450.6,6898
240719,200000,2445.3,13505
240719,210000,2445,4355
240719,220000,2444.6,6664
240719,230000,2446.7,4732
240722,100000,2447,12199
240722,110000,2445.2,8726
240722,120000,2449.2,7339
240722,130000,2450.1,6141
240722,140000,2439.1,16914
240722,150000,2436.8,27914
240722,160000,2435.5,12351
240722,170000,2429.5,21642
240722,180000,2428.2,10189
240722,190000,2435,11296
240722,200000,2437.5,8454
240722,210000,2440.9,5900
240722,220000,2443.8,7467
240722,230000,2441.1,2619
240723,100000,2441,13962
240723,110000,2445,20206
240723,120000,2449.7,23081
240723,130000,2449,8249
240723,140000,2450.5,16468
240723,150000,2448.7,14337
240723,160000,2443.8,15939
240723,170000,2445.2,17542
240723,180000,2448.6,5904
240723,190000,2448.2,5306
240723,200000,2447.8,8619
240723,210000,2447.9,2315
240723,220000,2449.3,3092
240723,230000,2451.3,2321
240724,100000,2458.7,18996
240724,110000,2454.3,7030
240724,120000,2456.3,8749
240724,130000,2456.3,6156
240724,140000,2459.6,5992
240724,150000,2463.8,13741
240724,160000,2462,21498
240724,170000,2466.2,32539
240724,180000,2461.4,19815
240724,190000,2455.5,8992
240724,200000,2446.5,15974
240724,210000,2447.3,12389
240724,220000,2437.2,9526
240724,230000,2435.4,6721
240725,100000,2413.9,41191
240725,110000,2414.5,11969
